         Rainfall Education Popden Nonwhite NOX SO2 Mortality
akronOH        35      10.4   3242      7.8  14  58     NA
albanyNY       28       4.0   4274     -3.5   3  32     990.9
allenPA        43       8.8   4259     -0.2   5  32     961.4
atlantGA       40       4.1   3118     20.1   1  17     975.3
baltimMD       42       8.6   6440     23.4  37 205    1070.0
birmhmAL       46       3.2   3318     31.5  25  65    1023.0
bostonMA       42      11.1   4678      2.5  31  61     933.7
bridgeCT       38       3.6   2133     -1.7  -3  -3     892.5
bufaloNY       35       9.5   6581      7.1  11  36    1001.0
cantonOH       29       3.7   4206     -0.3   0  13     905.3
chatagTN       51       8.6   2301     21.2   7  26    1017.0
chicagIL       26       3.9   6115      9.3  56 271    1018.0
cinnciOH       39       9.2   4100     12.0  25 145     969.5
clevelOH       28       4.1   3035      7.7  14  57     979.0
colombOH       36      10.9   4258     12.1   8  14     957.8
dallasTX       28       4.8   1434      7.8  -6  -6     853.1
daytonOH       35      10.4   4028     11.4   3  15     935.2
denverCO        8       5.2   4817     -2.3   1  21     864.8
detrotMI       30       9.8   4833     14.8  34 123     958.2
flintMI        23       3.8   3687      6.1  -3   4     934.2
ftwortTX       30      10.4   1843     10.5   0   0     890.7
grndraMI       24       3.9   3219     -1.9  -4   3     864.3
grnborNC       41       9.4   2268     21.7   2   4     970.1
hartfdCT       36       4.5   2902      0.2  -4   3     880.5
houstnTX       45      10.4   2646     20.0   4   0     951.5
indianIN       32       4.4   4405      8.6   0  26     961.7
kansasMO       34      11.0   3261     11.6   3   3     918.7
lancasPA       36       2.5   3207     -4.1   0  25     837.1
losangCA       10      11.1   4699      6.8 318 129     860.8
louisvKY       23       2.9   4467      6.1  30 186     982.3
memphsTN       49       9.4   3496     35.7  17  33    1005.0
miamiFL        53       4.5   4650      6.5  -6  -6     854.4
milwauWI       29      10.1   2933      4.8  22 124     928.2
minnplMN       18       5.1   2088     -5.0   4  19     850.6
nashvlTN       44       9.1   2081     20.0  13  77     960.0
newhvnCT       39       4.3   3320      1.8  -4   1     916.2
neworlLA       53       8.7   3171     30.4  16   0    1112.0
newyrkNY       35       3.7   7455      4.3  19 101     987.6
philadPA       41       9.5   6091     16.5  31 160    1014.0
pittsbPA       29       3.6   3430      1.1  52 256     984.3
portldOR       36      11.0   3386      2.6  20  43     893.0
provdcRI       35       3.1   3501     -4.8  -3  11     931.5
readngPA       40       8.6   4842      1.7  10  88     945.2
richmdVA       37       4.0   3761     21.6   2  41    1019.0
rochtrNY       31      10.1   4354      4.0   3  17     873.3
stlousMO       27       2.7   5153     10.2   8  61     946.6
sandigCA        9      11.1   3032      4.9  65  19     838.7
sanfrnCA       11       5.2   4246      6.7 164  79     904.7
sanjosCA       12      11.2   2701      2.0  31   2     789.7
seatleWA       28       5.2   3619     -1.3   0  13     892.3
springMA       44      10.1   1882      2.4   3  19     903.2
syracuNY       31       4.4   4916     -3.2  -2  18     943.7
toledoOH       30       9.7   3248      8.5   6  24     971.5
uticaNY        33       3.3   1664     -4.5  -5   4     905.2
washDC         40      11.3   5307     24.9  27 101     967.8
wichtaKS       21       5.1   3658      0.5  -5  -6     816.8
wilmtnDE       44      10.3   3151     11.1  10  41    1003.0
worctrMA       38       4.1   3671     -6.0  -4   1     888.7
yorkPA         41       8.0   9698      3.8   7  48     910.8
youngsOH       31       3.7   3444      4.7   6  32     947.4

