esqueave	cuerpave	esquemam	cuerpmam
1.995	40.667	0.193	3.35
0.072	1.225	0.227	3.915
0.0054	0.163	0.0003	0.0063
0.203	2.504	0.039	0.79
0.043	0.701	0.027	0.82
0.027	0.416	0.244	4.836
0.186	2.379	0.002	0.03
0.0058	0.124	0.015	0.275
0.028	0.427	0.02	0.365
0.00174	0.031	0.0025	0.03
0.00182	0.029	0.0076	0.115
0.00102	0.02	1.146	22.7
0.024	0.383	0.748	11.95
0.00618	0.144	0.25	3.395
0.00184	0.038	0.107	2.46
0.00297	0.069	0.224	4.26
0.00183	0.045	0.233	4.21
0.00076	0.013	0.0173	0.35
0.00128	0.023	0.27	4.45
0.00049	0.0087	0.448	6.725
0.00062	0.0126	0.135	1.56
0.00061	0.0092	0.342	2.931
0.00117	0.019	4.12	20
0.00051	0.013	12.161	67.31
0.0011	0.032	1782	6000
